name,date,content
"성인과 다른 노인·어린이 우울증, 세심한 관심 필요",2020.11.18,"우울증의 주요 증상에는 우울한 기분과 의욕 저하, 식욕 감퇴 등이 있다. 이 같은 우울증 증세는 노인이나 아동 등 연령에 따라 다르게 나타나기도 한다. 때문에 노인이나 아동의 경우 평소 주변 가족이나 지인의 세심한 관리가 필요하다. 노인·아동의 우울증 증상에 대해 알아본다.노인, 뇌혈관 좁아지며 ‘혈관성 우울증’ 증세 보여
노인 우울증은 기억력 저하와 식욕부진, 통증 등을 동반한다. 일부 노인 우울증 환자는 이를 다른 질환의 증상으로 오인해 내과 등에서 검사·치료를 받기도 한다.노인 우울증 환자가 이 같은 증상을 보이는 이유는 상당수가 뇌혈관이 좁아지거나 막혀 생기기는 ‘혈관성 우울증’을 환자를 겪기 때문이다. 혈관성 우울증은 당뇨병·고혈압·이상지질혈증·노화 등으로 인해 세로토닌과 같은 신경전달물질을 생성·분비하는 뇌의 부위나 감정에 관여하는 전두엽·시상하부 주변 혈관이 막히면서 발생한다.기억력이 저하되는 이유 역시 뇌의 모세혈관이 좁아지면서 기억과 관련된 전두엽 기능이 저하되기 때문이다. 이로 인해 노인 우울증을 치매로 잘못 생각하기 쉽다. 치매와 우울증을 구별하기 위해서는 과거의 일에 대해 기억하는 정도를 확인하면 된다. 우울증 환자들은 과거의 일에 대해 힌트를 주면 기억하지만, 치매는 과거의 일을 떠올리지 못한다.식욕 부진도 뇌혈관 문제로 인한 전두엽 기능 저하에서 비롯됐을 가능성이 높다. 전두엽은 식욕·의욕도 관장하기 때문이다. 식욕 저화와 함께 평소 무기력함을 보인다면 노인 우울증을 의심할 수 있다.또 관절염이나 허리디스크 등 근골격계 질환을 앓는 노인의 경우, 우울증으로 인해 몸 감각이 예민해져 작은 자극에도 통증을 느끼기 쉽다. 따라서 심한 병이 없음에도 통증을 호소하거나, 목·위장·머리·다리처럼 서로 관련 없는 부위가 연달아 아플 경우에도 노인 우울증을 의심해야 한다.노인 우울증은 일반 우울증과 다른 치료법이 적용된다. 이미 복용 중인 약이 항우울제 효과를 떨어트리거나 부작용을 일으킬 수 있어, 성인의 절반 용량으로 항우울제를 복용한다. 또 뇌 전체를 순간적으로 발작시키는 전기 치료 등 약물 외 치료를 병행하기도 한다. 전기 치료의 경우 세로토닌 호르몬 분비를 정상화해 우울증을 완화하는 효과가 있다. 증상이 심할 경우 혈액순환을 원활하게 히는 약물치료도 고려한다.어린이, ‘우울함’이라는 감정 모를 수도… 심리 변화 잘 살펴야
어린이의 경우 ‘우울함’이라는 감정을 알지 못하는 경우도 많다. 때문에 우울한 기분을 ‘재미없다’고 표현하며, 제일 좋아했던 활동을 갑자기 하기 싫다고 표현하기도 한다. 아이가 이 같은 표현과 함께 2주 이상 무표정하거나 무기력한 증상을 보이면 우울증을 의심해봐야 한다. 또 밤에 잠을 못 자거나, 급격히 수면량이 증가하는 것도 우울증 증세로 볼 수 있다. 어린이·청소년 우울증이 방치될 경우 성인기까지 이어질 수 있으므로, 부모는 평소 아이와 많은 대화를 나누며 감정 변화를 잘 살펴야 한다.어린이·청소년 우울증은 치료에 따라 80% 이상 완치될 수 있다. 부모가 자신들의 편이고, 감정을 이해해준다고 느끼도록 정서적 공감을 형성하는 것이 중요하다. 부모의 우울감이 자녀에게도 전해질 수 있기 때문에, 부모 역시 우울한 감정을 갖지 않도록 노력해야 한다. 아이들 또한 우울증 정도가 심하고 장기간 지속되면 병원 치료를 고려해야 한다. 어린이 우울증 치료에는 또래들과 함께 치료하는 집단 치료와 가족 간 의사소통을 원활하게 하는 가족 치료, 놀이 치료 등이 있다. 중증 환자의 경우 가족 동의하에 약물치료를 하기도 한다."
"대동맥, 늘어나도 無증상… 터지면 90%는 급사",2020.11.18,"대동맥은 우리 몸에서 가장 굵은 혈관으로, 온몸의 장기로 혈액을 보내주는 고속도로와 같다. 이 대동맥은 직경이 확장돼 아무런 증상이 없어 수년간 발견되지 않을 수 있다. 한 번 늘어난 대동맥은 약물치료로 되돌릴 수 없고, 파열·박리 등 심각한 합병증으로 이어질 수 있다. 특히 갈수록 늘고 있는 마르팡증후군 환자는 대동맥 확장증 위험이 높아 주의가 필요하다.늘어난 대동맥, 약물치료로 되돌릴 수 없어
건강한 성인의 대동맥은 직경이 3cm 내외이다. 그러나 노화·고혈압 등으로 인해 퇴행성 변화가 오거나, 유전 질환으로 인해 대동맥벽이 선천적으로 약해지면 일정 부위의 대동맥이 늘어날 수 있다. 이를 '대동맥류' 또는 '대동맥 확장증'이라고 한다. 늘어난 대동맥은 약물치료로 되돌릴 수 없다. 영상 검사를 통해 확장된 부위의 직경을 측정해 심하면 스텐트 삽입술이나 수술적 치료가 이뤄진다.'대동맥 근부' 터지면 90%가 급사할 정도로 위험
심장에서 대동맥이 시작되는 2~3cm 길이의 부위를 ‘대동맥 근부’라고 하는데, 이 부위의 확장은 다른 부위보다 훨씬 위험하다. 심장에 산소와 혈액을 공급하는 관상동맥이 시작되는 부위이기 때문에 파열·박리가 발생하면 급사 위험성이 매우 높다. 또한 대동맥 근부가 확장하면 인접한 주위 조직도 함께 늘어나 심장 기능 부전을 유발할 수도 있다. 강동경희대병원 흉부외과 조상호 교수는 ""대동맥류가 파열되면 80%는 급사하고 살아남은 20% 환자의 절반 이상도 병원 도착 전 사망한다""며 ""증상이 없어도 대동맥 근부를 포함한 상행 대동맥의 직경이 5.5cm 이상으로 늘어나면 합병증 예방을 위해 수술을 고려한다”고 말했다.마르팡증후군 등 기저질환 있으면 특히 조심
대동맥 근부 확장증은 '마르팡증후군'이나 '이엽성 대동맥 판막증'을 가진 환자에게 잘 생긴다. 마르팡증후군은 조직의 일부가 선천적으로 약해진 상태로, 높은 혈압으로 인한 혈관의 팽창에 저항 할 수 있는 능력이 약하기 때문이다. 조상호 교수는 ""마르팡증후군 환자에서 가장 심각한 문제는 대동맥 확장증""이라며 ""조기에 발견할수록 합병증을 최소화할 수 있어 세밀한 추적 관리가 필요하다""고 말했다. 수술 센터에 따라 기준에 차이가 있을 수 있으나 ▲대동맥 합병증의 가족력이 있거나 ▲대동맥 판막 역류증이 악화하는 경우 ▲지난 1년간 확장 속도가 빠른 경우에는 5cm 미만이어도 예방적 수술을 시행할 수 있다.마르팡증후군 환자 증가, 대동맥 근부 확장증도 늘어날 것
국민건강보험공단 자료에 따르면 2006년에 인구 10만 명 당 0.90명이던 국내 마르팡 증후군 유병률은 2013년 2.27명으로 2.5배 증가했다. 2019년에는 1570여 명의 환자가 보고돼 10만명 당 3.02명으로 환자 수는 점점 증가 추세에 있다. 연령의 분포를 보면 10대에서 새롭게 진단을 받은 환자도 증가했고, 치료 기술의 발전으로 수명이 늘어남에 따라 40대 이후의 환자들도 증가해 향후 대동맥 근부 확장증의 유병율도 증가할 것으로 예상된다.의료기술의 발달로 치료법 다양해졌다
과거에는 평생 항응고제를 복용해야 하는 '벤탈 수술'이 유일한 치료법이었다. 그러나 최근에는 기술과 재료가 발전하며 늘어난 판막 주위 조직을 알맞은 크기로 고정하고, 대동맥 판막의 기능은 보존하면서 확장된 대동맥 근부를 치환해 주는 수술(판막 보존형 근부치환술, 근부재건술)을 많이 시행하고 있다. 벤탈 수술과 비교해 수술 사망률 및 성적에 큰 차이가 없는 것으로 알려졌다. 조상호 교수는 ""대동맥 근부 수술은 발병 원인과 대동맥의 확장 상태를 면밀히 분석해 적절한 수술 시기를 결정해야 하고, 수술 전 CT·경식도 심장 초음파 등 검사를 토대로 대동맥 근부의 구조적 관계를 철저히 평가해서 환자 개개인에 가장 적절한 수술을 선택해야 한다""고 말했다."
운동하면 피부 좋아질까? 진실 vs 거짓,2020.11.18,"피부 건강을 위해 운동한다는 사람들이 있다. 실제 운동하면 피부가 좋아질까?이는 과학적 근거가 있는 말이다. 운동은 체내 염증을 없애는 '항염증성' 물질 분비를 촉진하고 혈액순환에 도움을 줘 건강하고 탄력있는 피부를 만든다.피부가 건강하려면 염증이 없어야 한다. 염증 수치가 높으면 여드름이 발생하기 쉽고, 피부 진피의 프레임 역할을 하는 콜라겐이 파괴돼 주름이 많아진다. 운동할 때는 근육에서 '마이오카인'이라는 항염증성 물질이 분비되고 피부에도 작용한다. 염증을 억제할 뿐 아니라 세포 활성도를 높인다. 요가와 같은 스트레칭·유연성 운동은 스트레스 호르몬인 코르티솔 분비를 줄이는 데 도움이 된다. 코르티솔은 스트레스가 과도할 때 분비되는데, 양이 많아지면 피부 염증 수치도 높아진다.모든 종류의 운동은 혈액순환을 원활히 하는데, 이로 인해 피부세포로 신선한 산소가 잘 전달되고 대사로 발생한 노폐물도 빨리 제거돼 피부가 건강해지는 효과를 볼 수 있다.하지만 과도한 운동은 오히려 피부를 지치게 한다. 숨이 차서 옆 사람과 대화하기 힘들고 온몸이 뜨거워질 정도의 고강도 운동을 1시간 이상 하면 코르티솔 분비량이 과도해지고 체내 활성산소가 많아져 피부가 나빠질 수 있다. 활성산소는 피부 세포를 포함한 체내 세포를 손상시켜 노화를 촉진한다."
"코로나19·독감 동시진단, 내일부터 본인부담 '0원'",2020.11.18,"코로나19와 독감(인플루엔자)를 동시에 진단할 수 있는 유전자증폭(RT-PCR) 검사에 대해 19일부터 건강보험이 적용된다. 본인부담분을 정부가 지원해 검사를 받을 때 비용을 전혀 부담하지 않아도 된다.코로나19와 독감은 기침, 발열 등 대표 증상이 비슷해 구분하기가 쉽지 않다. 구분을 위해서는 식품의약품안전처가 허가한 코로나19 동시 진단 시약을 활용하면 두 질환을 한 번에 판단할 수 있다. 기존에는 독감 주의보 기간에만 독감 검사에 한해 건강보험이 적용됐다.중앙재난안전대책본부 강도태 제1총괄조정관은 18일 정례 브리핑에서 ""코로나19 또는 독감 의심 증상이 있을 때 한 번 검사로 두 가지 질환을 동시에 파악할 수 있는 유전자증폭 진단검사에 독감 주의보와 관계없이 건강보험을 적용한다""고 말했다.검사 비용은 종합병원·의원 등 병원 종류에 따라 다른데, 8만1610원에서 9만520원 정도다. 이 중 일부를 건강보험공단이 부담하고, 나머지는 질병관리청이 정부 예산으로 지원한다. 적용 기간은 정부가 코로나19와 독감 유행 상황을 지켜보며 연장을 고려할 계획이다.적용 기준은 코로나19나 독감이 의심되는 자에게 최초 진단할 때 1회에 한하며, 의사의 판단에 따라 1회를 추가할 수 있다."
2020년 국가건강검진 내년 6월까지 연장,2020.11.18,"코로나19 유행으로 연말 건강검진 쏠림 현상을 막기 위해 2020년 건강검진 기간을 한시적으로 2021년 6월까지 연장한다.연장 대상은 2020년도 일반건강검진 및 암검진으로, 성별·연령별 검진이 포함된다.사무직 근로자 등 2년 주기 검진 대상자(암검진 포함)가 2020년에 검진기관의 사정 등으로 검진을 받지 못하는 경우 2021년 6월까지의 연장기간 내 검진을 받을 수 있으며, 2021년 6월까지 검진 연장을 원하는 경우, 국민건강보험공단 지사 또는 해당 사업장에 2021년 1월 1일 이후 건강검진 대상자 추가등록 신청을 하여야 하고, 다음 검진은 2022년에 받게 된다.비사무직 근로자(1년 주기 검진 대상자)도 2020년에 검진기관의 사정 등으로 검진을 받지 못하는 경우 2021년 6월까지의 연장기간 내 검진을 받고 2022년에 다음 검진을 받을 수 있다."
방심한 당뇨병 환자들 공격하는 '짠맛',2020.11.18,"당뇨병 환자가 방심한 틈을 공격하는 '음식'이 있다. 바로 '짠 음식'이다. 당뇨병 환자는 '달게 먹으면 안 된다'는 생각에 이를 철저히 지키려고 노력하지만 짠맛에는 관대한 편인 탓이다. 이를 증명한 국내 연구 결과가 있다. 영남대 식품영양학과 연구팀이 국내 65세 이상 당뇨병 환자 2353명의 자료를 분석한 결과, 평균 나트륨 섭취량이 하루 기준치(65~74세 기준 1300mg, 75세 이상 1100mg)의 2배를 훌쩍 넘겼다. 특히 75세 이상인 환자는 충분 섭취량의 3배 이상을 섭취하고 있는 것으로 나타났다.연구팀은 나트륨 과다 섭취가 당뇨병 합병증 위험을 높일 수 있어 노인 당뇨병 환자의 식습관 교육이 필요하다고 했다. 당뇨병 환자가 나트륨을 과도하게 섭취하면 고혈압, 단백뇨와 만성신장질환 등 미세혈관합병증 위험이 높아진다. 체내 나트륨이 과다하면 혈액과 세포내액량이 증가하고, 나트륨 자체가 혈관벽 내피세포를 자극해 혈관을 수축시켜 혈압이 높아진다.65세 이상 당뇨병 환자가 나트륨 섭취를 줄이려면 국, 찌개, 젓갈 섭취에 주의해야 한다. 특히 국물에 나트륨이 많기 때문에, 귀찮다고 국에 밥만 말아먹는 식사는 최대한 피한다. 국물류를 먹어야 한다면 건더기만 먹는다. 음식에 소스는 되도록 뿌리지 않는다. 평소 체내 나트륨 배출을 돕는 영양소인 칼륨이 많은 토마토, 바나나, 시금치 등의 푸른색 채소를 충분히 먹는 것도 도움이 된다."
"삼성바이오로직스, 세계 최대 규모 ‘제4공장’ 착공",2020.11.18,"삼성바이오로직스는 18일 인천 송도 글로벌캠퍼스에서 제 4공장 착공식을 개최했다고 밝혔다. 이번 행사는 코로나19 확산을 방지하기 위해 버츄얼(virtual) 발파식으로 간소화해 진행했다.제 4공장 건설은 2022년 부분 생산, 2023년 전체 가동을 목표로 진행되며, 실질적인 건설 공사에 집중해 목표 일정을 소화할 계획이다.새로 구축되는 4공장은 생산량 25만6000리터 규모로, 현재 단일 공장 기준 세계 최대 생산 시설인 제 3공장(18만리터)을 넘어선다. 총 면적은 약 23만8000㎡(7.2만평)로, 1~3공장 전체 면적(24만㎡)에 준한다.특히 4공장은 세포주 개발부터 완제 생산까지 한 공장 안에서 ‘원 스톱’ 서비스가 가능한 슈퍼 플랜트로 설계됐다. 이를 통해 글로벌 바이오 의약품 공급 속도를 획기적으로 높이고 고객 만족을 극대화해 초격차 경쟁력 시대를 연다는 계획이다.공장 건설에 총 1조7400억원이 투입되며, 향후 제 2바이오캠퍼스 부지 확보에 따라 전체 투자비가 2조원 이상으로 늘어날 전망이다. 또 4공장 건설로 임직원 1850여명이 신규 채용되며, 별도 건설인력 6400여명이 고용된다. 생산유발 효과는 약 5조7000억원, 고용창출효과는 약 2만7000명에 달한다. 삼성바이오로직스는 다음 달 중 제 4공장 온라인 홍보관을 오픈해, 4공장 설계와 장점, 건설과정 등 다양한 정보들을 실시간 제공할 계획이다.한편, 삼성바이오로직스는 제 4공장에 들어가는 핵심부품을 국산화해 정부가 추진 중인 소재·부품·장비 산업 육성 정책에도 힘을 보탤 예정이다. 이날 삼성바이오로직스는 국내 배양기 제조 전문기업 정현프랜트와 업무협약(MOU)을 체결, 제 4공장에 들어가는 배양기를 공급받기로 했다.삼성바이오로직스 김태한 사장은 “앞으로도 지속적인 투자와 바이오 의약품 개발·기술 혁신, 시장 개척을 통해 ‘K-바이오’의 글로벌 위상을 증진시키겠다”며 “뿐만 아니라, 수출 확대를 통한 경제 활성화와 청년 일자리 창출에도 힘을 보태겠다다”고 말했다."
"보령제약, 예산공장 항암제 생산라인 GMP 인증",2020.11.18,"보령제약은 식품의약품안전처로부터 예산공장 항암주사제 생산시설에 대한 GMP(Good Manufacturing Practice, 의약품 제조·품질 관리 기준) 적합 인증을 획득했다고 18일 밝혔다.보령제약은 GMP 인증을 획득함에 따라 다발성골수종 치료체 ‘벨킨주(성분명 보르테조밉삼합체)’ 생산을 시작으로 본격적으로 시설을 가동할 수 있게 됐다. 항암주사제 생산시설은 연간 최소 600만 바이알(Vial)의 생산규모를 갖추고 있으며, 필요시 생산량을 3배 이상 확대할 수 있다. 독일 NNE Pharmaplan사가 설계를 맡았으며, 2019년 4월 준공됐다. 지난 10월 내용고형제 GMP인증을 획득했고, 올해 초부터 내용고형제 생산시설을 가동 중이다.예산공장 항암주사제 생산라인은 기준 심사기간보다 짧은 기간에 인증을 획득하며 생산시설과 GMP운영의 우수성을 입증했다. 항암주사제 생산시설은 약리활성이 높은 의약품도 안전하게 생산할 수 있는 최신 ‘아이솔레이터 시스템’을 갖추고 있으며, 고도화된 GMP 관리 체계를 구축하는 등 세계적인 수준의 생산시설을 구비했다.현재 보령제약은 항암제를 미래성장동력으로 선정하고 적극적인 투자에 나서고 있다. 기존 항암사업본부를 ONCO(항암)부문으로 승격해, 항암제 마케팅 영업 역량을 강화했으며, 대형품목 인수와 개량신약 개발 등을 통해 제품 포트폴리오를 확대해 가고 있다. 또 자체개발중인 신약파이프라인을 비롯한 오픈이노베이션을 통해 R&D 역량 또한 확대하고 있다. 특히 이번 항암제 생산라인 GMP인증을 통해 항암부문 성장을 기대하고 있다.보령제약 이삼수 대표는 “이번 GMP 인증은 보령제약이 신성장 동력으로 선정하고 중점 투자하고 있는 항암제분야에서 R&D, 마케팅 분야와 함께 생산 역량을 더욱 강화하는 시작점”이라며 “향후 EU GMP 인증 등을 통해 글로벌 수준으로 생산 역량을 높여나갈 계획”이라고 말했다."
등 근육만 울퉁불퉁? ‘작은 근육’ 키워야 오래 산다,2020.11.18,"근육이라고 하면 허벅지, 등, 가슴 등 큰 근육을 먼저 떠올린다. 그러나 손, 발에 있는 ‘작은 근육’도 건강에 큰 영향을 미친다. 작은 근육의 힘이 저하되면 옷 갈아입기나 목욕하기, 화장실 이용하기 같은 일상생활 능력이 떨어지고, 사망률·심혈관질환 위험이 덩달아 커질 수 있다. 작은 근육에는 어떤 것들이 있으며, 단련하는 방법은 무엇일까?손 근육
손 근육은 일상에서 많이 쓰기 때문에 삶의 질과 관련이 깊다. 특히 손의 힘을 측정하는 ‘악력’은 우리 몸의 전체 근력을 대변한다. 실제 서울아산병원의 연구에 따르면 악력이 낮은 사람은 높은 사람보다 사망률이 1.4배, 심혈관질환 위험이 1.6배 높은 것으로 나타났다. 악력을 키우려면 고무공, 악력기를 이용해 하루 30~45회 정도 손에 힘을 주는 운동을 한다.발 근육
족저근 등 발·발가락 움직임에 관여하는 발 근육이 약해지면 넘어질 위험이 커지고, 조금만 걸어도 발이 아파 활동량이 줄어들게 된다. 근력 약화로 인한 발목 염좌가 만성화되면 통증은 물론 발목 관절염까지 생길 수 있다. 이렇게 되면 활동량이 줄어들고 낙상 위험이 커져 위험하다. 발 근육을 단련하려면 발 굴곡을 담당하는 근육을 스트레칭하는 게 좋다. 먼저 다리를 곧게 펴고 앉은 뒤, 수건이나 밴드를 발의 가장 오목한 부분에 걸어서 당기고 10~20초 버틴다. 발가락을 10초 이상 쫙 벌리고 꼼지락거리는 운동도 효과적이다.삼킴 근육
삼킴 근육이란 음식을 삼키는 데 관여하는 입·혀·턱 근육 등을 말한다. 삼킴 근육이 약해지면 먹는 속도가 느려지고, 큰 음식을 씹어서 삼키는 데 어려움을 느낀다. 이로 인해 영양실조·탈수·흡인성 폐렴과 같은 질환이 생길 위험이 커진다. 삼킴 근육을 단련하는 방법은 다양하다. 입 운동으로는 ▲노래 부르기 ▲큰 소리로 말하기 ▲'아, 에, 이, 오, 우'를 따라 하기 등이 있다. 혀 단련에는 ▲혀 내밀기 ▲혀를 좌우로 움직이기 ▲혀로 양 볼 밀기 등이 좋다. 턱 운동은 입을 크게 벌리고 오므렸다가 턱을 최대한 좌우로 움직이는 운동이 있다.호흡 근육
호흡 근육이란 호흡을 깊고 길게 하는 데 도움을 주는 목 옆의 목갈비근·목빗근과 갈비뼈 사이 늑간근을 말한다. 이 근육들이 약해지면 숨 쉬는 동작이 잘 안 돼 호흡을 얕고 짧게 한다. 그러면 몸 속에 산소를 충분히 공급할 수 없어 호흡곤란이 생기거나 숙면하기 어려워진다. 호흡 근육을 강화하려면 똑바로 앉은 상태에서 한쪽 손으로 이마를 일정한 힘으로 누른다. 이때 이마나 목이 뒤로 넘어가지 않도록 힘을 주고 10~20초간 버텨야 한다. 앉은 상태에서 머리 뒤로 양손 깍지를 낀 뒤, 허리를 양옆으로 구부려 스트레칭하는 동작은 늑간근 강화에 좋다.배뇨 근육
배뇨 근육은 골반의 가장 아랫부분에서 중요한 장기를 받치는 골반저근육과 요도괄약근을 말한다. 이 근육들이 약화되면 여성은 요실금·골반통이 생길 수 있다. 심하면 자궁이 아래로 빠지는 자궁탈출증이 발생하기도 한다. 이를 예방하기 위해서는 소변을 조절하는 요도괄약근에 힘을 주었다 빼는 '케겔 운동'과 스쿼트가 효과적이다. 스쿼트를 할 때는 앉았다가 올라오며 다리를 펼 때 엉덩이와 항문을 함께 오므린다는 느낌으로 꽉 쥐어짜면 좋다. 이 상태를 10초간 유지한다. 스쿼트는 1세트 10회, 2~3세트 한다."
"고령화 사회 속 팬데믹, 노인 독감 예방 중요한 이유",2020.11.18,"독감 환자는 통상 11월부터 서서히 증가하기 시작해 12월과 1월에 가장 많이 발생한다. 올해는 코로나19와 독감의 동시 감염과 확산이 우려되는 상황에서 감염에 취약한 고령자 등 고위험군에게 안전한 독감백신 접종 필요성이 강조되고 있다. 다만, 올해는 인플루엔자 유행수준이 예년보다 낮고 유행시기가 늦어질 가능성이 높은 만큼 질병관리청은 예방접종을 너무 서두르지 말고 건강상태가 좋은 날 접종할 것을 당부했다.고령화 사회, 코로나19가 보여주는 노인 건강 불평등
국제연합(UN)에 따르면, 향후 30년 동안 세계 노인의 수는 2 배 이상 증가할 것으로 예상된다. 특히 한국은 세계적으로 빠르게 고령화 비율이 증가하고 있는 국가 중 하나다. 지난 50여년 간 국내 65세 이상 고령인구 비율은 약 5배 증가했으며(1970년 3.1% → 2019년 14.9%), 2067년에는 65세 이상 고령자가 전체 인구의 절반 가량(46.5%)을 차지할 것으로 예측된다.고령자가 점점 더 적극적인 역할을 하는 사회에 살고 있지만, 노인은 여전히 건강 불평등 속에 놓여있다. 수명 연장이 건강한 신체기능을 담보하지는 않기 때문이다. 나이 들수록 면역기능은 저하되고, 1~2개 이상의 만성질환도 앓게 된다. 그만큼 고령자는 감염병에 취약해진다.당면한 코로나19 사태는 고령자가 얼마나 감염에 취약하고 또 치명적인지를 잘 보여준다. 영국에서 올해 6-7월(6.20-7.13)에 성인 10만 여명을 대상으로 조사한 결과에 따르면, 코로나19로 인한 전체 감염 사망률(overall infection fatality ratio (IFR))이 15-44세 성인의 경우 0%에 가까웠으나, 65-74 세의 경우 3.1 %, 75세 이상 노인의 경우 11.6 %로 증가했다.  또 올 초 국내 코로나19 감염증 사망자 분석 연구에 따르면, 사망자의 평균연령은 75.5세로 고령일수록 치명률이 증가했다.  현재까지 국내 코로나 사망자의 90% 이상은 만 60세 이상에서 발생했고, 80% 이상은 70세 이상에서 발생했다.이런 상황에서 국제연합(UN)은 지난 10월 1일, 세계 노인의 날 30주년을 맞는 올해를 ‘헬씨 에이징 10년 (Decade of Healthy Ageing)(2020-2030)’ 계획이 시작되는 해로 기념하고, 코로나19와 같은 감염병이 노인에게 끼치는 건강불평등과 심각한 영향에 대해 얘기했다. 국제노인연맹(IFA: 82 개 이상의 국가에서 정부, 학계, 산업 및 개인 회원으로 구성된 국제적 비정부기구(NGO))도 노년기 건강과 복지에서 감염병을 막기 위한 성인 예방접종의 중요성을 인식하고, 평생 예방접종 지원 및 성인 예방접종률 향상을 위한 글로벌 캠페인 활동에 힘쓸 것을 약속했다.독감, 고령자에게 더 치명적인 이유
고령화 사회에 인플루엔자와 같은 감염병은 심각한 공중 보건 문제가 된다. 매년 인플루엔자 시즌 독한 감기 정도로 인식됐던 독감은 사실 그 위험성이 과소평가돼 있다. 인플루엔자는 단순한 호흡기 감염병이 아니다. 우리나라 10대 사망원인의 절반, 국내 65세 이상 노인의 10대 다빈도 입원 상병 중 3개 질환이 인플루엔자와 관련 있다. 65세 이상 노인의 45~77%는 1개 이상의 인플루엔자 관련 합병증을 겪는다는 보고도 있다. 또한 인플루엔자는 감염 시 폐렴, 심혈관질환 등 심각한 합병증 위험을 증가(폐렴 발생 위험 최대 100배,  급성 심근경색 및 뇌졸중 위험을 각각 최대 10배, 8배 증가시키는 치명적인 질환일 수 있다.  특히 면역 체계 약화로 감염병에 취약한 고령자나 만성질환자에게 인플루엔자는 중증합병증으로 인한 입원, 심지어 사망까지 이르게 하는 요인이 되고 있다. 65세 이상 고령자는 인플루엔자로 인한 사망자의 약 90%를 차지할 정도이고, 고령자의 인플루엔자 초과 사망률은 청장년층보다 317배 더 높다.(17/18 절기 기준)65세 이상 고령자의 약 90%가 당뇨병, 심혈관질환 등의 기저 만성질환을 앓고 있다는 점도 주목해야 한다. 심장 및 만성폐질환을 보유하고 있는 고령자의 경우 인플루엔자 감염 시 사망위험이 최대 20배까지 증가한다는 보고도 있다.백신·면역력·생활 방역 수칙 3가지 지켜야
고령화 사회에서 예방접종은 인플루엔자를 포함한 여러 질병을 예방할 수 있는 가장 강력하고 비용 효율적인 예방책 중 하나이다. 65세 이상 고령자에서 예방접종의 목적은 인플루엔자 발병을 예방하는 것보다 인플루엔자 바이러스 감염과 관련된 이차 합병증을 막고 그로 인한 입원과 사망을 감소시키는 데 있다. 독감 백신은 인플루엔자 감염과 관련된 의료기관 방문 및 입원 위험을 줄이는 데에 효과적이다. 고령자에서 독감 백신은 폐렴이나 인플루엔자 감염으로 인한 입원을 25-53%, 사망은 27-75%까지 감소시키는 것으로 보고된 바 있다. 당뇨병, 심장, 폐 질환 등 만성질환자 역시 인플루엔자나 폐렴으로 인한 입원 또는 사망을 43-56% 정도 예방하는 것으로 보고되었다. 또한 독감백신은 심혈관계 사건 위험 감소와도 관련이 있다. 단, 고령자는 전반적인 면역기능이 저하로 백신의 효과가 젊은 성인에 비해 떨어질 수 있으므로예방접종뿐 아니라 예방접종 전 면역력 증강을 위해 꾸준한 약복용 등 만성질환 관리, 체력 관리, 건강한 식생활습관을 챙겨야 한다. 또한 예방접종 후에도 ‘손씻기’, ‘마스크 쓰기’, ‘사람 많은 곳 피하기’와 같은 방역수칙을 철저히 실천해야 한다.

<사노피 파스퇴르에서 제작을 지원받아 취재한 기사입니다.>"
